Database S1.1,,,,,,,,,
Known perovskites,,,,,,,,,
Compound,Source (ICSD ID or reference),A,,B,,B’,,X,
,,Ion,Oxidation State,Ion,Oxidation State,Ion,Oxidation State,Ion,Oxidation State
AgCoF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Co,2,Co,2,F,-1
AgCuF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Cu,2,Cu,2,F,-1
AgMgF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Mg,2,Mg,2,F,-1
AgMnF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Mn,2,Mn,2,F,-1
AgNbO3,55643,Ag,1,Nb,5,Nb,5,O,-2
AgNiF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Ni,2,Ni,2,F,-1
AgSbO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ag,1,Sb,5,Sb,5,O,-2
AgTaO3,40830,Ag,1,Ta,5,Ta,5,O,-2
AgVO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ag,1,V,5,V,5,O,-2
AgZnF3,28950,Ag,1,Zn,2,Zn,2,F,-1
BaAmO3,61317,Ba,2,Am,4,Am,4,O,-2
BaCeO3,88590,Ba,2,Ce,4,Ce,4,O,-2
BaFeO3,28918,Ba,2,Fe,4,Fe,4,F,-2
BaHfO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ba,2,Hf,4,Hf,4,O,-2
BaIrO3,248378,Ba,2,Ir,4,Ir,4,O,-2
BaMoO3,43799,Ba,2,Mo,4,Mo,4,O,-2
BaNbO3,50275,Ba,2,Nb,4,Nb,4,O,-2
BaNpO3,61316,Ba,2,Np,4,Np,4,O,-2
BaOsO3,237730,Ba,2,Os,4,Os,4,O,-2
BaPbO3,51656,Ba,2,Pb,4,Pb,4,O,-2
BaPrO3,163752,Ba,2,Pr,4,Pr,4,O,-2
BaPuO3,43768,Ba,2,Pu,4,Pu,4,O,-2
BaSnO3,27049,Ba,2,Sn,4,Sn,4,O,-2
BaTbO3,86736,Ba,2,Tb,4,Tb,4,O,-2
BaThO3,29110,Ba,2,Th,4,Th,4,O,-2
BaUO3,77627,Ba,2,U,4,U,4,O,-2
BaZrO3,190881,Ba,2,Zr,4,Zr,4,O,-2
BiAlO3,171708,Bi,3,Al,3,Al,3,O,-2
BiCoO3,247467,Bi,3,Co,3,Co,3,O,-2
BiCrO3,174403,Bi,3,Cr,3,Cr,3,O,-2
BiFeO3,162895,Bi,3,Fe,3,Fe,3,O,-2
BiInO3,171757,Bi,3,In,3,In,3,O,-2
BiMnO3,238293,Bi,3,Mn,3,Mn,3,O,-2
BiRhO3,108996,Bi,3,Rh,3,Rh,3,O,-2
CaCeO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Ca,2,Ce,4,Ce,4,O,-2
CaCrO3,245840,Ca,2,Cr,4,Cr,4,O,-2
CaFeO3,248483,Ca,2,Fe,4,Fe,4,O,-2
CaMoO3,172790,Ca,2,Mo,4,Mo,4,O,-2
CaNbO3,85569,Ca,2,Nb,4,Nb,4,O,-2
CaOsO3,237732,Ca,2,Os,4,Os,4,O,-2
CaPbO3,87825,Ca,2,Pb,4,Pb,4,O,-2
CaRuO3,69359,Ca,2,Ru,4,Ru,4,O,-2
CaTcO3,261341,Ca,2,Tc,4,Tc,4,O,-2
CaThO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Ca,2,Th,4,Th,4,O,-2
CaTiO3,185443,Ca,2,Ti,4,Ti,4,O,-2
CaUO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ca,2,U,4,U,4,O,-2
CaVO3,81056,Ca,2,V,4,V,4,O,-2
CdCeO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Cd,2,Ce,4,Ce,4,O,-2
CdTcO3,180009,Cd,2,Tc,4,Tc,4,O,-2
CdZrO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Cd,2,Zr,4,Zr,4,O,-2
CeAlO3,245266,Ce,3,Al,3,Al,3,O,-2
CeCrO3,28931,Ce,3,Cr,3,Cr,3,O,-2
CeFeO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Ce,3,Fe,3,Fe,3,O,-2
CeGaO3,76048,Ce,3,Ga,3,Ga,3,O,-2
CeScO3,195596,Ce,3,Sc,3,Sc,3,O,-2
CeScS3,622042,Ce,3,Sc,3,Sc,3,S,-2
CeVO3,162748,Ce,3,V,3,V,3,O,-2
CrBiO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Cr,3,Bi,3,Bi,3,O,-2
CsCaBr3,77242,Cs,1,Ca,2,Ca,2,Br,-1
CsCaCl3,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ca,2,Ca,2,Cl,-1
CsCaF3,45309,Cs,1,Ca,2,Ca,2,F,-1
CsCdCl3,24484,Cs,1,Cd,2,Cd,2,Cl,-1
CsCdF3,49582,Cs,1,Cd,2,Cd,2,F,-1
CsDyBr3,300285,Cs,1,Dy,2,Dy,2,Br,-1
CsDyI3,300286,Cs,1,Dy,2,Dy,2,I,-1
CsEuBr3,172892,Cs,1,Eu,2,Eu,2,Br,-1
CsEuCl3,31463,Cs,1,Eu,2,Eu,2,Cl,-1
CsEuF3,49577,Cs,1,Eu,2,Eu,2,F,-1
CsFeF3,49583,Cs,1,Fe,2,Fe,2,F,-1
CsGeBr3,80320,Cs,1,Ge,2,Ge,2,Br,-1
CsHgF3,15168,Cs,1,Hg,2,Hg,2,F,-1
CsIO3,33665,Cs,1,I,5,I,5,O,-2
CsMgF3,49584,Cs,1,Mg,2,Mg,2,F,-1
CsPbBr3,109295,Cs,1,Pb,2,Pb,2,Br,-1
CsPbCl3,109294,Cs,1,Pb,2,Pb,2,Cl,-1
CsPbF3,93438,Cs,1,Pb,2,Pb,2,F,-1
CsPbI3,161481,Cs,1,Pb,2,Pb,2,I,-1
CsSrCl3,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Sr,2,Sr,2,Cl,-1
CsSrF3,49578,Cs,1,Sr,2,Sr,2,F,-1
CsThO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Cd,2,Th,4,Th,4,O,-2
CsTmCl3,31460,Cs,1,Tm,2,Tm,2,Cl,-1
CsYbBr3,77243,Cs,1,Yb,2,Yb,2,Br,-1
CsYbCl3,31461,Cs,1,Yb,2,Yb,2,Cl,-1
CsYbF3,49579,Cs,1,Yb,2,Yb,2,F,-1
CsYbI3,72342,Cs,1,Yb,2,Yb,2,I,-1
CsZnF3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Cs,1,Zn,2,Zn,2,F,-1
CuTaO3,164934,Cu,1,Ta,5,Ta,5,O,-2
DyAlO3,188422,Dy,3,Al,3,Al,3,O,-2
DyCoO3,23658,Dy,3,Co,3,Co,3,O,-2
DyCrO3,16505,Dy,3,Cr,3,Cr,3,O,-2
DyFeO3,27280,Dy,3,Fe,3,Fe,3,O,-2
DyGaO3,429061,Dy,3,Ga,3,Ga,3,O,-2
DyMnO3,91711,Dy,3,Mn,3,Mn,3,O,-2
DyNiO3,162114,Dy,3,Ni,3,Ni,3,O,-2
DyScO3,99545,Dy,3,Sc,3,Sc,3,O,-2
DyScS3,630206,Dy,3,Sc,3,Sc,3,S,-2
DyVO3,40392,Dy,3,V,3,V,3,O,-2
ErAlO3,"J Alloy and Compounds, 372, 40-48 (2008)",Er,3,Al,3,Al,3,O,-2
ErCoO3,172049,Er,3,Co,3,Co,3,O,-2
ErCrO3,28487,Er,3,Cr,3,Cr,3,O,-2
ErFeO3,16782,Er,3,Fe,3,Fe,3,O,-2
ErMnO3,159309,Er,3,Mn,3,Mn,3,O,-2
ErNiO3,191795,Er,3,Ni,3,Ni,3,O,-2
ErScS3,631072,Er,3,Sc,3,Sc,3,S,-2
ErVO3,40393,Er,3,V,3,V,3,O,-2
EuAlO3,109353,Eu,3,Al,3,Al,3,O,-2
EuCrO3,251085,Eu,3,Cr,3,Cr,3,O,-2
EuFeO3,27277,Eu,3,Fe,3,Fe,3,O,-2
EuGaO3,"J Alloy and Compounds, 372, 40-48 (2008)",Eu,3,Ga,3,Ga,3,O,-2
EuMnO3,95492,Eu,3,Mn,3,Mn,3,O,-2
EuNiO3,80400,Eu,3,Ni,3,Ni,3,O,-2
EuRhO3,172351,Eu,3,Rh,3,Rh,3,O,-2
EuScO3,4128,Eu,3,Sc,3,Sc,3,O,-2
EuTiO3,290422,Eu,3,Ti,3,Ti,3,O,-2
EuZrO3,174198,Eu,2,Zr,4,Zr,4,O,-2
FeBiO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Fe,3,Bi,3,Bi,3,O,-2
FeZrO3,247122,Fe,2,Zr,4,Zr,4,O,-2
GdAlO3,59848,Gd,3,Al,3,Al,3,O,-2
GdCoO3,45153,Gd,3,Co,3,Co,3,O,-2
GdCrO3,9985,Gd,3,Cr,3,Cr,3,O,-2
GdFeO3,23823,Gd,3,Fe,3,Fe,3,O,-2
GdGaO3,492,Gd,3,Ga,3,Ga,3,O,-2
GdMnO3,95493,Gd,3,Mn,3,Mn,3,O,-2
GdNiO3,88040,Gd,3,Ni,3,Ni,3,O,-2
GdScO3,65513,Gd,3,Sc,3,Sc,3,O,-2
GdScS3,636338,Gd,3,Sc,3,Sc,3,S,-2
GdTiO3,8149,Gd,3,Ti,3,Ti,3,O,-2
GdVO3,40391,Gd,3,V,3,V,3,O,-2
HgSnO3,260029,Hg,2,Sn,4,Sn,4,O,-2
HgTiO3,19005,Hg,2,Ti,4,Ti,4,O,-2
HoAlO3,1236,Ho,3,Al,3,Al,3,O,-2
HoCoO3,23659,Ho,3,Co,3,Co,3,O,-2
HoCrO3,236371,Ho,3,Cr,3,Cr,3,O,-2
HoFeO3,27281,Ho,3,Fe,3,Fe,3,O,-2
