Database S2.2.1,
Perovskites found from internet mining          ,
Compound,Reference
Ag3InCl6  ,"PhD Thesis Stephan Bremm, Uni Koln (2002)"
AmVO3,Springer Materials
AuZnF3    ,arxiv 1606.03279v1
Ba2CoSbO6 ,Springer Materials
Ba2CrWO6  ,"Comp. Mat. Sci. 92, 298-304 (2014)"
Ba2CuNpO6 ,"J. Alloys and Compounds, 177, 285-310 (1991)"
Ba2CuWO6  ,"J. Inorg Nucl Chem 27, 994-1003 (1965)"
Ba2FeSnO6 ,"Semicond. 40(11), 1261-1265 (2006)"
Ba2LiNpO6 ,"Inorg Nucl Chem Lett 77, 145-151 (1971)"
Ba2MoPrO6 ,"Inorg Chem. 10(5), 922 (1971)"
Ba2MoTbO6 ,"Inorg Chem. 10(5), 922 (1971)"
Ba2NaNpO6 ,"Inorg Nucl Chem Lett 77, 145-151 (1971)"
Ba2NbAmO6 ,"J. Inorg Nucl. Chem. 1965 27, 1253-1260"
Ba2PaAmO6,Springer Materials
Ba2PbCeO6 ,Mat Res Bull 30(12) 1455-1462 (1995)
Ba2PbPrO6 ,Mat Res Bull 30(12) 1455-1462 (1995) 
Ba2SbCeO6 ,"Solid State Sci, 58, 64-69 (2016)"
Ba2TiMoO6 ,"Physica B 407(16), 3074-3077"
Ba2TiZrO6 ,"J. Supercond. and Nov. Magn. 26, 2459-2462 (2013)"
Ba2VPrO6  ,"J. Supercond. and Nove. Magn. 30(2), 545-554 (2017)"
Ba2YWO6   ,arxiv.1304.3649v3
Ba2ZnNpO6 ,"C.R. Chimie 10 (2007), 859-871 "
Ba3MoO6   ,Springer Materials
Ba3NpO6   ,"J. Chem. Thermod. 17 (6), 561-573 (1985)"
Ba3PuO6   ,"J. Chem. Thermod. 17 (6), 561-573 (1985)"
BaBiO3    ,ICSD
BaCfO3    ,"J. Alloys and Comp. 200, 181-185 (1993)"
BaCmO3    ,"J. Alloys and Comp. 200, 181-185 (1993)"
BaPaO3    ,ICSD
BaPtO3    ,"Appl. Catalysis A, 138, 93-108 (1996) "
BaSbO3    ,"PRB 43(4),43 (1991)"
BaTaO3    ,"Physica C 227, 252-256 (1997)"
BaUSe3    ,"Inorg. Chem. 55(15), 7734-7738 (2016)"
Bi2CrFeO6 ,Physica B Condens Matter 383 (1):9-12
Bi2FeMoO6 ,arxiv:1404.7058  
Bi2FeNiO6 ,Physica B 2470-2473 (2010) 
Bi2MnFeO6 ,APL Materials 5(3) 035601 (2017)
Bi2MnMoO6 ,"J Alloys and Compounds 699, 463-467 (2017)"
Bi2MnNiO6 ,"Phase Transitions 81 (7-8), 729-749 (2008)"
Bi2MnReO6 ,"PRB 83, 024410 (2011)"
Bi2NiReO6 ,"PRB 83, 024410 (2011)"
Bi2TiMnO6 ,arxiv:1610.00409 (2016)
Bi2TiNiO6 ,J. Appl. Phys. 113 (143514) (2013)
Bi2TiZnO6 ,"Chem Mater 18(24), 5810-5810 (2006)"
Bi2VZnO6  ,Chem Mater 27(6) 2012-2017 (2015)
BiGaO3    ,ICSD
BiIrO3    ,"PRL 115, 037602 (2015)"
BiLuO3,"Proc. R. Soc. A. 467, 2271-2290 (2011)"
BiNiO3    ,ICSD
BiScO3    ,ICSD
BiTiO3    ,"Optik - International Journal for light and electron optics, 3(127), 1503-1506"
BiTmO3    ,"Acta Cryst. (2015). B71, 507-513"
BiVO3     ,"Ceramics International 39(5), 5963-5966 (2013)"
BiYO3,Springer Materials
Ca2BiDyO6  ,Chemical Papers 67 (10) 1311-1316 (2013)
Ca2BiSmO6  ,"J. Photochemistry and Photobiology A: Chemistry, 307-308, 1-8 (2015)"
Ca2FeSnO6  ,"Semiconductors, 40 (11), 1261-1265 (2006)"
Ca2MoLaO6  ,"Acta Chimica Iasi, 22(2), 145-154 (2014)"
Ca2MoSmO6  ,"Acta Cemica Iasi 22(2), 145-154 (2014)"
Ca2NbCeO6  ,Physica B 407 (1) 84-89
Ca2ReIrO6  ,"Mat Res Bul 13, 347-351 (1978)"
Ca2ScOsO6  ,"Inorg Chem 55(5), 2240-2245 (2016)"
Ca2SrWO6   ,Prog Solid State Chem 197-233 (1993)
Ca2YNbO6 ,Springer Materials
Cd2GaNbO6  ,J. Opt Adv. Mater 6(4) 1311-1315 (2004)
Cd2NbInO6  ,"J. Optoel. Adv. Mater 8(5), 1884-1888 (2006)"
CdHfO3     ,Mat Res Bulletin 10(3) 187-192 (1975)
CdPbO3     ,"Inorg Chem 52, 1032-1039 (2013)"
CeLuO3     ,J Solid State Chem 19(1) 29-33 (1976)
CeMnO3     ,"Angew. Chem. 49(42), 7723-7727 (2010)"
CeRhO3     ,J. Alloys and Comp. 210 177-184 (1994)
CeTiO3     ,"J. Magnetism and Magn. Materials 37, 315-321 (1983)"
CeTmO3     ,"J. Solid. State Chem. 19, 29-33 (1976)"
CeYbO3     ,"J. Solid. State Chem. 19, 29-33 (1976)"
CoTiO3     ,"Cryst Eng. Comm. 18, 868-871 (2016)"
Cs2AgAuCl6  ,ICSD
Cs2AgBiBr6 ,J Phys Chem Lett 7(7) 1254-1259 (2016)
Cs2AgBiCl6 ,J Phys Chem Lett 7(7) 1254-1259 (2016)
Cs2AgBiI6  ,J Phys Chem Lett 7(7) 1254-1259 (2016) 
Cs2AgInF6 ,Z. Anorg. Chem. 423 (2) 125-132 (1976)
Cs2CoRbF6 ,"Mat Res Bull 8(12), 1371-1382 (1973)"
Cs2CuRbF6  ,"Z. Anorg. Allg. Chem. 519, 195-203 (1984)"
Cs2FeTlF6  ,"Z. Anorg. Chem. 407 (3), 305-312 (1974)"
Cs2InTlF6  ,"Z. Anorg. Chem. 423 (2), 125-132 (1976)"
Cs2KAgF6   ,ICSD
Cs2KBiF6   ,ICSD
Cs2KCoF6   ,"Z. Anorg. Alg. Chem. 407, 313-318 (1950)"
Cs2KCuF6   ,"Z. Anorg. Alg. Chem. 532, 17-22 (1950)"
Cs2KEuBr6  ,Sandia Report SAND2012-9951: Doty et al.
Cs2KLaI6   ,"Abstract Poster 31 (Martin, V. Wei, H., Zhuravleva, M., Melcher, C.L.) 2014 Symp Rad. Meas. and Appl"
Cs2KMnF6   ,"J Solid State Chem. 153 (2), 248-253 (2000)"
Cs2KMoF6   ,"Z. Anorg. Chem. 416 (3), 240-250 (1975)"
Cs2KNiF6   ,"Z. Anorg. Chem. 405 (2), 167-175 (1974)"
Cs2KPdF6   ,"J. Fluorine Chem. 29 (1-2), 39 (1985)"
Cs2KRhF6   ,"Z. Anorg. Chem. 414(1), 91-96 (1975)"
Cs2KTiF6   ,"Z. Anorg. Chem. 403(2), 127-136 (1974)"
Cs2KTlF6   ,"Z. Anorg. Alg. Chem. 361 (304), 113-224 (2004)"
Cs2LiUCl6  ,Springer Materials
Cs2MoTlF6  ,"Z. Anorg. Chem. 416(3), 240-250 (1975)"
Cs2NaBiF6,Springer Materials
Cs2NaInF6  ,ICSD
Cs2NaLaI6  ,Sandia Report SAND2012-9951: Doty et al.
Cs2NaNdF6  ,Sandia Report SAND2012-9951: Doty et al.
Cs2NaPmCl6 ,"J. Phys. Chem. A, 114 (19), pp 6055–6062 (2010)"
Cs2NaTlF6  ,"Z. Anorg Chem. 376 (3), 268-276 (1970)"
Cs2NaUBr6,Springer Materials
Cs2NaUCl6  ,ICSD
Cs2PdHgCl6 ,"Z. Anorg. Chem. 603 (1), 69-76, (1991)"
Cs2RbBiF6  ,Springer Materials
Cs2RbCeBr6 ,Sandia Report SAND2012-9951: Doty et al.
Cs2RbLaCl6 ,"Thermochimica Acta 234,287-295 (1994)"
Cs2RbPdF6  ,J. Fluorine chemistry 29 1-2 39 (1985)
Cs2RbYBr6  ,Sandia Report SAND2012-9951: Doty et al.
Cs2RbYCl6  ,Sandia Report SAND2012-9951: Doty et al. 
Cs2TiRbF6  ,"J. Phys. Soc. Japan 82(10), 104709 (2013)"
Cs2TlBiCl6  ,"ACS Energy Letters, 1, 949-955 (2016)"
Cs2TlBiF6  ,Springer Materials
Cs2VTlF6   ,"Z. Anorg. Chem. 412(2), 110-120 (1975)"
Cs3CeCl6  ,"J. Th. Anal. Cal. 67, 789-826 (2002)"
Cs3CoF6,Springer Materials
Cs3CuF6    ,"Z. Anorg. Allg. Chem. 519, 195-203 (1984) "
Cs3DyCl6,Springer Materials
Cs3EuCl6  ,Springer Materials
Cs3GdCl6,Springer Materials
Cs3GdF6   ,"Opt. Mater. 28, 77-84 (2006) "
Cs3HoCl6,"Handbook of Inorganic Substances, Walter de Gruyter GmbH & Co (2015), P. Villars, K. Cenzual, R. Gladyshevskii "
Cs3LaBr6  ,Springer Materials
Cs3LaCl6  ,Springer Materials
Cs3LuBr6  ,"Prog. in Nucl Sci and Technol. 1, 275-278 (2011)"
Cs3LuCl6  ,"Prog. in Nucl Sci and Technol. 1, 275-278 (2011)"
Cs3NdBr6   ,"Molten Salts and Ionic Liquids: Never the Twain? John Wiley and Sons (2012), M. Gaune-Escard & K. R. Seddon"
Cs3NdCl6   ,"Inorg. Chem. 46,6, 2299 (2007)"
Cs3PrCl6   ,Springer Materials
Cs3ScF6    ,"J. Molec. Sci, 143 17-20 (1986)  "
Cs3TbBr6   ,CALPHAD: Comp. Coupling of Phase Diagrams and Thermochemistry 37 (2012) 108-115
Cs3TbCl6   ,Springer Materials
Cs3TmCl6,Springer Materials
Cs3YbF6    ,"Mat Res Bul 17, 1251-1263 (1982)"
Cs3YCl6    ,Springer Materials
Cs3YF6,Springer Materials
CsAgCl3    ,ICSD
CsAgF3     ,ICSD
CsAuBr3   ,ICSD
CsBaF3    ,"Acta Phys Polonica A, 128(1), 34 (2015)"
CsCaI3    ,Springer Materials
CsEuI3     ,"Chem Mater 9(12), 2990-2995 (1997)"
CsPdF3     ,Z. Anorg. Chem. 408 (2): 115-120 (1974)
CsSrBr3    ,"Phys. Chem. Chem. Phys. 18, 13196-13208 (2016)"
CsTlCl3    ,"Chem. Mater., 25 (20) 4071-4079 (2013)"
CsTlF3     ,"Chem. Mater., 25 (20) 4071-4079 (2013)"
