Database S2.2.2,,
Non-perovskites found from internet mining                ,,
Compound,Structure type,Reference
AgIO3     ,edge sharing ,ICSD
Ba2RhSbO6 ,hexagonal ,"J. Inorg Nucl Chem 27, 994-1003 (1965)"
Ba2ScMoO6 ,hexagonal ,"Inorg Chem 10(5),922 (1971)"
BaTeO3    ,edge sharing ,ICSD
Bi2TiFeO6 ,edge sharing ,ICSD
Bi2TiMoO6 ,sheelite ,"Applied Catalysis A: General 110, 207-216 (1994)"
Bi3YO6    ,fluorite ,"Solid State Ionics 264, 49-53 (2014)"
BiEuO3    ,Bi2O3 type ,ICSD
BiGdO3    ,Bi2O3 type ,ICSD
BiInS3    ,edge sharing ,ICSD
BiTbO3    ,fluorite ,"J. Magnetism. and Magnetic Materials 398, 289-297 (2016)"
BiYbO3    ,,ICSD
Ca3NpO6,,"Handbook of Inorganic Substances, Walter de Gruyter GmbH & Co (2015), P. Villars, K. Cenzual, R. Gladyshevskii "
CaPtO3     ,pyroxene,ICSD
CaTeO3     ,isolated octahedra ,ICSD
Cd2GaTaO6  ,pyrochlore ,Int. J. of Hydrogen En. 35 (13) 7029-7035 (2010)
Cd2InSbO6  ,amorphous ,"Vacuum 80, 1038-1041 (2006)"
CdFeO3     ,hexagonal ,"J Phys Chem Solids 36, 783-789 (1975)"
CdTeO3     ,isolated TeO3 pyramids ,"Acta Cryst. C41, 1152-1154 (1985)"
Ce3LuSe6   ,edge sharing ,ICSD
CeBiO3     ,layered ,"Phys. Stat. Solidi B 252 (12), 2680-2684 (2015) "
CeBiS3,,Springer Materials
CeBiSe3,,Springer Materials
CeDyS3     ,edge sharing ,ICSD
CeErS3     ,edge sharing ,ICSD
CeEuO3     ,Sm2O3 type,Springer Materials
CeHoS3     ,edge sharing  ,ICSD
CeInO3     ,layered,ICSD
CeLaO3     ,La2O3-type ,Springer Materials 
CeLuS3     ,layered ,ICSD
CePrO3,,Springer Materials
CeSbO3     ,pyrochlore ,ICSD
CeTbO3,,Springer Materials
CeTmS3     ,layered,ICSD
CeYbS3     ,layered ,ICSD
CeYbSe3    ,layered (ScUS3 type) ,ICSD
CrFeO3    ,Al2O3 type,Springer Materials
CrMoO3    ,no octahedra ,ICSD
CrRhO3    ,Al2O3 type ,Springer Materials
CrVO3     ,corundum ,"J. Solid State Chem. 144, 392-397 (1999) "
CrWO3      ,no octahedra ,ICSD
Cs2LiInCl6 ,edge sharing ,ICSD
Cs2NaTiF6  ,hexagonal ,"Z. Anorg Chem. 403(2), 127-136 (1974)"
Cs2TlBiCl6,,Springer Materials
Cs3ErCl6  ,isolated octahedra ,Springer Materials 
Cs3EuF6,,Springer Materials
Cs3GdBr6  ,isolated octahedra ,"J Luminesc. 153, 64-72 (2014)"
Cs3GdCl6  ,isolated octahedra ,"J Luminesc. 153, 64-72 (2014)"
Cs3InCl6   ,isolated octahedra ,"PhD thesis Stephan Bremm, Uni Koln 2002"
Cs3LuF6   ,isolated octahedra ,Springer Materials
Cs3LaI6,,"J. Luminesc. 149, 374-384 (2014)"
Cs3SmCl6 ,isolated octahedra ,Springer Materials
