1.0 0.134403960689 -0.0442331677243 0.557777145888	1.0 0.13089489348 -0.0430783121856 0.569260104366
2.0 0.134403960884 -0.0442331677884 0.557777145883	2.0 0.13089489367 -0.043078312248 0.569260104362
3.0 0.134404351557 -0.0442332963613 0.557777137186	3.0 0.130895274195 -0.0430784374812 0.569260095711
4.0 0.134421468106 -0.0442389295224 0.557776756081	4.0 0.130911946158 -0.0430839243263 0.569259716758
5.0 0.134575330751 -0.0442895666625 0.557773330297	5.0 0.13106181239 -0.0431332462225 0.569256310296
6.0 0.135188114971 -0.0444912377075 0.557759686536	6.0 0.131658680683 -0.0433296792383 0.569242743471
7.0 0.136727478045 -0.0449978515357 0.557725412451	7.0 0.133158064983 -0.0438231358067 0.569208662587
8.0 0.139651224169 -0.0459600743155 0.557660316808	8.0 0.136005891569 -0.044760373001 0.569143933586
9.0 0.144291598568 -0.0474872499882 0.557557014363	9.0 0.140525806539 -0.0462479047369 0.569041212181
10.0 0.150992529066 -0.0496925673101 0.55740789777	10.0 0.147052863193 -0.0483959991105 0.568892932603
11.0 0.159663140564 -0.0525461187285 0.557215136417	11.0 0.155498623897 -0.0511755507535 0.568701250257
12.0 0.170358848304 -0.0560661417395 0.556977825291	12.0 0.165917168081 -0.0546043575385 0.568465262899
13.0 0.183027457053 -0.0602354585718 0.556697738011	13.0 0.178257775044 -0.0586657269714 0.568186731497
14.0 0.197605053542 -0.0650330349765 0.556377280144	14.0 0.192458322272 -0.063339214152 0.5678680452
15.0 0.214039181714 -0.0704416073437 0.55601902916	15.0 0.208467856079 -0.0686080499099 0.567511763992
16.0 0.232302384371 -0.0764521393413 0.555625445698	16.0 0.226259781194 -0.074463481578 0.567120331646
17.0 0.252397910953 -0.0830657003797 0.555198716444	17.0 0.245837421914 -0.0809066032031 0.566695919513
18.0 0.274359715793 -0.090293465038 0.554740689511	18.0 0.267234023297 -0.0879483559378 0.566240362257
19.0 0.298248736754 -0.0981554883409 0.554252869912	19.0 0.290509129857 -0.0956083362462 0.565755153327
20.0 0.324147101903 -0.106678799139 0.553736450579	20.0 0.315742946026 -0.103912939899 0.565241475774
21.0 0.352151508489 -0.115895221089 0.553192361445	21.0 0.343029889886 -0.112893240467 0.564700251018
22.0 0.382366636466 -0.125839205007 0.552621324923	22.0 0.372472179785 -0.122582878634 0.564132193992
23.0 0.414899138088 -0.136545850804 0.55202391041	23.0 0.40417398116 -0.133016135884 0.563537867324
24.0 0.449852497989 -0.148049215906 0.551400583663	24.0 0.438236400365 -0.14422628694 0.562917730427
25.0 0.487322881374 -0.160380948873 0.550751748948	25.0 0.474753440078 -0.156244268658 0.562272181417
26.0 0.527395970252 -0.17356924818 0.550077783377	26.0 0.513808916383 -0.169097665426 0.561601591262
27.0 0.570144715998 -0.187638122571 0.549379063595	27.0 0.555474267712 -0.182809988071 0.560906330341
28.0 0.615627898293 -0.2026069168 0.548655985548	28.0 0.599807148742 -0.197400211098 0.560186788126
29.0 0.663889365151 -0.218490061517 0.547908978234	29.0 0.646850687258 -0.212882528129 0.559443386868
30.0 0.714957828181 -0.235297005888 0.547138512437	30.0 0.696633281596 -0.229266285228 0.558676590341
31.0 0.770175172751 -0.253469372618 0.546335945286	31.0 0.750463230451 -0.24698205152 0.557877793172
32.0 0.827353329679 -0.272287054721 0.545516939689	32.0 0.806208487172 -0.265328157377 0.55706257596
33.0 0.887458889036 -0.292068162916 0.544675340806	33.0 0.864811568737 -0.284614790916 0.556224809482
34.0 0.950485119065 -0.31281048174 0.543811670314	34.0 0.926266411192 -0.304839956453 0.555365007898
35.0 1.01641494795 -0.334508392755 0.54292648285	35.0 0.990556882876 -0.325998344959 0.554483718181
36.0 1.08522190612 -0.357153184664 0.542020362596	36.0 1.05765769961 -0.348081635256 0.553581516751
37.0 1.15687107625 -0.380733365958 0.541093919438	37.0 1.12753534745 -0.371078797702 0.552659005691
38.0 1.23132002708 -0.40523497225 0.540147784993	38.0 1.20014898987 -0.39497639274 0.551716808774
39.0 1.30851971397 -0.430641862649 0.539182608542	39.0 1.27545134266 -0.419758858853 0.550755567477
40.0 1.38841533478 -0.456936001433 0.538199053138	40.0 1.35338950556 -0.445408786235 0.54977593711
41.0 1.4709471336 -0.484097722569 0.537197791867	41.0 1.43390574314 -0.471907173805 0.548778583098
42.0 1.55605114834 -0.512105975739 0.536179504359	42.0 1.51693821131 -0.499233668296 0.547764177545
43.0 1.64365990035 -0.540938553308 0.535144873569	43.0 1.60242162753 -0.527366784818 0.54673339603
44.0 1.73370302633 -0.570572298276 0.53409458286	44.0 1.69028788481 -0.556284108947 0.545686914706
45.0 1.82610785361 -0.600983293624 0.533029313365	45.0 1.78046661104 -0.585962480791 0.5446254077
46.0 1.92079992122 -0.632147033796 0.531949741634	46.0 1.87288567545 -0.61637816167 0.543549544771
47.0 2.01770344951 -0.664038579236 0.530856537583	47.0 1.96747164511 -0.647506984353 0.542459989268
48.0 2.11732878064 -0.696825886688 0.529747835897	48.0 2.06472287304 -0.679512959877 0.541354878149
49.0 2.21855400563 -0.730139729016 0.52862878889	49.0 2.1635453688 -0.712036049283 0.540239342009
