1.0 30.187692702 -9.9349548008 0.986560958752	1.0 28.8247065531 -9.48638770038 0.987184424733
2.0 30.1876927024 -9.93495480095 0.986560958752	2.0 28.8247065535 -9.48638770052 0.987184424733
3.0 30.1876936205 -9.93495510307 0.986560959349	3.0 28.8247074293 -9.48638798876 0.987184425305
4.0 30.187733847 -9.93496834187 0.986560985687	4.0 28.8247458049 -9.4864006184 0.987184450471
5.0 30.1880954494 -9.93508734744 0.986561222408	5.0 28.8250907686 -9.48651414805 0.987184676646
6.0 30.189535639 -9.93556132265 0.986562165232	6.0 28.8264646891 -9.48696631373 0.98718557747
7.0 30.1931538346 -9.93675209302 0.98656453387	7.0 28.8299163965 -9.48810229181 0.987187840597
8.0 30.2000272434 -9.939014174 0.986569033336	8.0 28.8364735294 -9.49026028444 0.987192139631
9.0 30.2109398082 -9.94260556602 0.986576175686	9.0 28.8468839547 -9.49368641926 0.987198963809
10.0 30.2267060598 -9.94779433611 0.986586489344	10.0 28.8619247207 -9.49863642758 0.987208818019
11.0 30.247121469 -9.95451317249 0.986599826505	11.0 28.8814007151 -9.5050460968 0.987221561025
12.0 30.2723297915 -9.962809386 0.986616249883	12.0 28.9054491034 -9.51296056886 0.987237252733
13.0 30.3022262938 -9.97264850827 0.986635632438	13.0 28.9339700297 -9.52234698063 0.987255771773
14.0 30.3366836727 -9.98398864296 0.986657796693	14.0 28.9668421503 -9.53316539709 0.987276948542
15.0 30.3756067827 -9.9967984772 0.986682544921	15.0 29.0039748527 -9.54538599717 0.987300594102
16.0 30.4189644684 -10.0110677575 0.986709678328	16.0 29.0453386255 -9.5589990685 0.98732651853
17.0 30.4668026987 -10.0268116124 0.986739008106	17.0 29.090977583 -9.57401912931 0.987354541377
18.0 30.5192440158 -10.0440703715 0.98677036061	18.0 29.1410089356 -9.59048475425 0.987384496772
19.0 30.5764780505 -10.0629064433 0.986803578998	19.0 29.195613926 -9.60845559147 0.987416234823
20.0 30.6387470541 -10.0833995543 0.986838522554	20.0 29.2550240192 -9.62800781751 0.98744962109
21.0 30.7063294613 -10.1056413389 0.986875064923	21.0 29.3195052071 -9.64922897188 0.987484534837
22.0 30.7795235721 -10.1297299697 0.986913091795	22.0 29.3893424324 -9.67221283101 0.987520866882
23.0 30.8586326798 -10.1557652622 0.986952498603	23.0 29.4648253874 -9.69705473443 0.987558517283
24.0 30.9439523571 -10.1838444912 0.986993188321	24.0 29.5462363822 -9.72384759208 0.987597393384
25.0 31.035760194 -10.2140590134 0.987035069717	25.0 29.6338405439 -9.75267865896 0.987637408004
26.0 31.1343079749 -10.2464916924 0.987078055811	26.0 29.7278783527 -9.78362707852 0.987678478062
27.0 31.2398161225 -10.2812150708 0.987122062827	27.0 29.828560337 -9.81676213702 0.987720523554
28.0 31.3524701266 -10.3182901945 0.987167009411	28.0 29.936063665 -9.85214214156 0.987763466764
29.0 31.472418649 -10.3577659888 0.987212816143	29.0 30.0505303362 -9.88981382505 0.987807231831
30.0 31.5997729866 -10.3996790824 0.987259405244	30.0 30.1720666706 -9.92981217803 0.987851744476
31.0 31.7380251104 -10.4451787042 0.987306948368	31.0 30.3040065665 -9.97323440693 0.987897168731
32.0 31.8815953873 -10.4924285628 0.987354963367	32.0 30.4410230942 -10.0183273865 0.987943043955
33.0 32.0330096139 -10.5422599133 0.987403560096	33.0 30.5855277224 -10.0658847458 0.987989475153
34.0 32.1922960769 -10.5946820652 0.987452671427	34.0 30.7375474935 -10.1159153848 0.988036398209
35.0 32.3594580112 -10.6496960829 0.987502232563	35.0 30.8970855273 -10.1684203301 0.988083751231
36.0 32.5344758703 -10.7072955336 0.987552181151	36.0 31.064123191 -10.2233934496 0.988131474721
37.0 32.7173096085 -10.7674672382 0.98760245758	37.0 31.2386222739 -10.280822168 0.988179511718
38.0 32.9079009022 -10.8301920018 0.987653005014	38.0 31.4205271118 -10.3406881657 0.988227807934
39.0 33.1061752823 -10.8954453162 0.987703769506	39.0 31.6097666239 -10.4029680497 0.988276311891
40.0 33.3120441516 -10.9631980236 0.987754700169	40.0 31.8062562355 -10.4676339859 0.988324974971
41.0 33.525406662 -11.0334169343 0.987805749157	41.0 32.0098996741 -10.5346542904 0.988373751498
42.0 33.7461514544 -11.1060653992 0.987856871752	42.0 32.2205906276 -10.6039939753 0.988422598747
43.0 33.9741582507 -11.1811038342 0.987908026319	43.0 32.4382142672 -10.6756152497 0.98847147697
44.0 34.2092993053 -11.2584901973 0.987959174315	44.0 32.6626486323 -10.7494779757 0.988520349363
45.0 34.4514407185 -11.3381804214 0.988010280227	45.0 32.8937658838 -10.8255400805 0.988569182004
46.0 34.7004436203 -11.4201288034 0.988061311533	46.0 33.1314334353 -10.9037579293 0.988617943836
47.0 34.9561652276 -11.5042883527 0.988112238571	47.0 33.3755149642 -10.9840866573 0.988666606553
48.0 35.2196996692 -11.5910191536 0.988162242965	48.0 33.627056367 -11.0668704756 0.988714389124
49.0 35.4886967471 -11.6795477416 0.98821270633	49.0 33.8838115198 -11.151370171 0.988762610042
50.0 35.7640169209 -11.7701572992 0.988262962605	50.0 34.1466029788 -11.2378564518 0.988810633648
