1.0 0.150683457367 -0.0495908499185 0.504213505	1.0 0.148463081368 -0.0488601105604 0.511447922266
2.0 0.150683457586 -0.0495908499904 0.504213504997	2.0 0.148463081583 -0.0488601106311 0.511447922261
3.0 0.150683895294 -0.0495909940428 0.504213496182	3.0 0.148463512879 -0.0488602525731 0.511447913448
4.0 0.150703072589 -0.0495973054084 0.504213109948	4.0 0.148482409219 -0.0488664714745 0.511447527283
5.0 0.150875459383 -0.0496540389595 0.50420963805	5.0 0.14865227049 -0.0489223738607 0.511444056004
6.0 0.151562016641 -0.0498799891634 0.504195810686	6.0 0.149328769792 -0.0491450139297 0.511430231088
7.0 0.153286685556 -0.0504475882803 0.504161075744	7.0 0.151028174925 -0.0497042985808 0.511395502255
8.0 0.156562316515 -0.0515256185176 0.504095106228	8.0 0.154255832082 -0.0507665403454 0.511329544144
9.0 0.16176098934 -0.0532365336261 0.503990420832	9.0 0.159378391644 -0.0524524061126 0.51122487635
10.0 0.16926772097 -0.0557070450423 0.503839316242	10.0 0.166775271424 -0.0548867646112 0.511073796074
11.0 0.178980277764 -0.0589035070474 0.503643999528	11.0 0.176345790085 -0.0580364809956 0.51087850889
12.0 0.190960185704 -0.0628461682201 0.503403564912	12.0 0.188150645482 -0.0619215313028 0.510638107722
13.0 0.20514832216 -0.0675155709395 0.503119823001	13.0 0.202131665166 -0.0665227706223 0.510354401195
14.0 0.221472371857 -0.0728879158054 0.502795226064	14.0 0.218217685659 -0.0718167786175 0.510029839386
15.0 0.23987280686 -0.0789436118095 0.502432401329	15.0 0.236350149929 -0.0777842838101 0.509667047259
16.0 0.260318060485 -0.0856722701625 0.502033858077	16.0 0.256498058755 -0.0844150841663 0.509268531847
17.0 0.282810913585 -0.09307480606 0.501601828275	17.0 0.278664264601 -0.0917101184491 0.508836522942
18.0 0.307388477121 -0.101163432947 0.50113820107	18.0 0.30288545646 -0.0996814612318 0.508372907567
19.0 0.334118004505 -0.109960284334 0.500644518269	19.0 0.329228035959 -0.108350965696 0.507879225463
20.0 0.363090383064 -0.119495271797 0.500122005855	20.0 0.357781706481 -0.117748153777 0.507356700562
21.0 0.394412701022 -0.129803638728 0.499571623832	21.0 0.388652150988 -0.127907806384 0.50680629078
22.0 0.428200857385 -0.1409235282 0.498994122467	22.0 0.421953751578 -0.138867567367 0.506228744268
