1.0 27.8639975933 -9.17021248997 0.905327649875	1.0 26.707452217 -8.78958631385 0.909356584693
2.0 27.8639975938 -9.17021249012 0.905327649877	2.0 26.7074522175 -8.78958631403 0.909356584698
3.0 27.8639985576 -9.17021280733 0.905327654631	3.0 26.7074531354 -8.78958661612 0.909356589272
4.0 27.8640407849 -9.17022670458 0.905327862882	4.0 26.707493355 -8.78959985263 0.909356789768
5.0 27.8644203744 -9.17035162983 0.905329734898	5.0 26.7078548969 -8.78971883828 0.909358592073
6.0 27.8659322163 -9.17084918625 0.905337190823	6.0 26.709294857 -8.79019273797 0.909365770333
7.0 27.8697305193 -9.17209923105 0.905355922761	7.0 26.7129125622 -8.79138334694 0.909383804655
8.0 27.8769464211 -9.17447402862 0.905391507903	8.0 26.7197853544 -8.79364522503 0.909418064455
9.0 27.8884035266 -9.1782446323 0.905447999992	9.0 26.7306976494 -8.79723652821 0.909472452312
10.0 27.9049576593 -9.18369269889 0.905529586795	10.0 26.7464645425 -8.80242550943 0.909550999644
11.0 27.926393629 -9.19074740796 0.905635111448	11.0 26.7668810895 -8.80914472026 0.909652592172
12.0 27.9528591804 -9.19945738324 0.905765087027	12.0 26.7920881348 -8.81744051345 0.909777723167
13.0 27.9842363003 -9.20978378583 0.905918529936	13.0 26.8219736061 -8.82727600534 0.90992544489
14.0 28.0203765635 -9.22167776808 0.90609406137	14.0 26.8563967461 -8.83860487184 0.91009442902
15.0 28.0611573822 -9.23509898562 0.906290145958	15.0 26.89524174 -8.85138899754 0.910283196477
16.0 28.1065150788 -9.25002648175 0.906505243584	16.0 26.9384492302 -8.86560884755 0.910490263627
17.0 28.1564591765 -9.26646339059 0.906737896083	17.0 26.9860299065 -8.8812679399 0.910714225718
18.0 28.2110730075 -9.28443713729 0.906986768802	18.0 27.0380650366 -8.89839302034 0.910953796952
19.0 28.2705053833 -9.30399669666 0.907250663033	19.0 27.0946984651 -8.91703142897 0.911207822457
20.0 28.3349572435 -9.3252081991 0.90752851097	20.0 27.1561238188 -8.93724688957 0.911475273408
21.0 28.4046662405 -9.34814985752 0.907819361357	21.0 27.2225697481 -8.95911465241 0.911755233224
22.0 28.4798913165 -9.37290689137 0.908122361203	22.0 27.2942851667 -8.98271663647 0.91204688
