1.0 26.2816668254 -8.64945773025 0.631280787534	1.0 25.0791902571 -8.25371531718 0.642145112397
2.0 26.2816668258 -8.6494577304 0.631280787535	2.0 25.0791902575 -8.25371531732 0.642145112399
3.0 26.2816677432 -8.6494580323 0.631280789951	3.0 25.0791911329 -8.2537156054 0.642145114783
4.0 26.2817079337 -8.64947125924 0.631280895816	4.0 25.0792294845 -8.25372822717 0.642145219312
5.0 26.2820692134 -8.64959015861 0.631281847446	5.0 25.0795742344 -8.25384168648 0.642146158927
6.0 26.2835081155 -8.65006371012 0.631285637612	6.0 25.0809473018 -8.25429357138 0.642149901247
7.0 26.2871230647 -8.65125341208 0.631295159784	7.0 25.0843968547 -8.25542884039 0.6421593032
8.0 26.2939902572 -8.65351344725 0.631313248785	8.0 25.0909498496 -8.25758547118 0.642177163806
9.0 26.3048928123 -8.657101545 0.631341964479	9.0 25.1013535753 -8.26100940113 0.642205516864
10.0 26.3206442737 -8.66228544755 0.631383433793	10.0 25.1163843532 -8.26595612232 0.642246462354
11.0 26.3410398792 -8.66899776637 0.631437065185	11.0 25.1358467896 -8.2723613295 0.64229941606
12.0 26.3662225765 -8.67728554649 0.631503113133	12.0 25.159877292 -8.28026991519 0.642364629066
13.0 26.3960867279 -8.68711402188 0.631581067017	13.0 25.1883750559 -8.28964870406 0.642441596993
14.0 26.4305037475 -8.69844087408 0.631670208955	14.0 25.2212173785 -8.30045731386 0.642529610798
15.0 26.4693767182 -8.71123420716 0.631769732398	15.0 25.2583117773 -8.31266530799 0.642627873889
16.0 26.5126721522 -8.72548299999 0.631878815813	16.0 25.2996262964 -8.32626216958 0.642735574878
17.0 26.5604330865 -8.74120141637 0.631996662531	17.0 25.3452020038 -8.34126141439 0.642851926938
18.0 26.6127785287 -8.75842862242 0.632122517108	18.0 25.3951524622 -8.35770041658 0.642976183959
19.0 26.6698939879 -8.77722567034 0.63225566677	19.0 25.4496546929 -8.37563743496 0.643107641979
20.0 26.7320170434 -8.79767074886 0.632395434311	20.0 25.5089354051 -8.39514708089 0.643245632185
21.0 26.7994209532 -8.81985378895 0.632541167074	21.0 25.5732553544 -8.41631517066 0.643389510018
22.0 26.8723983957 -8.84387111283 0.632692225137	22.0 25.6428938281 -8.43923361944 0.643538643511
23.0 26.9512466605 -8.86982056035 0.632847970638	23.0 25.7181345139 -8.46399579057 0.643692402794
24.0 27.0362550073 -8.89779732858 0.633007759403	24.0 25.7992534367 -8.49069252552 0.643850151757
25.0 27.1276944751 -8.92789061822 0.633170935221	25.0 25.8865092346 -8.51940894374 0.644011242477
26.0 27.225810139 -8.96018108492 0.633336826884	26.0 25.9801357697 -8.55022201064 0.64417501226
27.0 27.3308156287 -8.99473903556 0.633504747753	27.0 26.0803368975 -8.58319881628 0.644340783195
28.0 27.442889634 -9.03162327802 0.633673997323	28.0 26.1872831319 -8.61839547791 0.64450786376
29.0 27.5621740813 -9.07088052117 0.633843864516	29.0 26.3011099059 -8.65585656728 0.644675552009
30.0 27.6887736662 -9.11254522095 0.634013632064	30.0 26.4219171247 -8.69561496388 0.644843139955
31.0 27.8261497137 -9.15775652069 0.63418340962	31.0 26.553007746 -8.73875769129 0.64501073605
32.0 27.9687560205 -9.20468913081 0.634351122718	32.0 26.6890893242 -8.78354297323 0.645176292414
33.0 28.1190947406 -9.25416652559 0.634516677994	33.0 26.8325495313 -8.83075660718 0.64533971716
34.0 28.2771881992 -9.30619605234 0.634679400321	34.0 26.9834096709 -8.88040560429 0.64550034405
35.0 28.4430340063 -9.36077692454 0.634838635866	35.0 27.1416674624 -8.93248921404 0.645657527896
36.0 28.616607359 -9.4179009794 0.634993756481	36.0 27.3072992378 -8.98699964709 0.645810648911
37.0 28.7978633409 -9.47755343462 0.635144163538	37.0 27.4802621356 -9.0439227975 0.645959116449
38.0 28.9867391629 -9.53971362597 0.635289291083	38.0 27.6604962398 -9.1032389465 0.646102372158
39.0 29.1831563065 -9.60435571251 0.635428608427	39.0 27.8479266241 -9.16492343545 0.646239892503
40.0 29.3870225429 -9.67144934117 0.635561622085	40.0 28.0424652797 -9.22894730004 0.646371190674
41.0 29.5982338131 -9.7409602655 0.635687877141	41.0 28.2440129085 -9.29527786073 0.646495817955
42.0 29.816675962 -9.81285091632 0.635806958117	42.0 28.4524605784 -9.36387926724 0.646613364538
43.0 30.0422263237 -9.88708092358 0.635918489287	43.0 28.667691236 -9.4347129966 0.64672345987
44.0 30.2747551622 -9.9636075904 0.636022134646	44.0 28.8895810812 -9.50773830544 0.646825772579
45.0 30.5141269718 -10.0423863209 0.636117597419	45.0 29.1180008079 -9.58291263834 0.646920010014
46.0 30.7602016438 -10.1233710046 0.636204619331	46.0 29.3528167181 -9.66019199444 0.647005917492
47.0 31.0128355102 -10.2065143593 0.636282979537	47.0 29.593891717 -9.73953125501 0.647083277281
48.0 31.2730179768 -10.2921420047 0.63633989134	48.0 29.8421699417 -9.82124114139 0.647139471562
49.0 31.5385838096 -10.3795413489 0.636397584402	49.0 30.095585225 -9.90464166526 0.647196436922
50.0 31.8103086025 -10.4689676447 0.636445682483	50.0 30.354877675 -9.98997640071 0.647243934104
51.0 32.088047706 -10.560373287 0.636484044921	51.0 30.6199092601 -10.0771999207 0.647281824423
52.0 32.371656836 -10.6537107909 0.636512557991	52.0 30.8905422978 -10.1662669132 0.64730999573
53.0 32.6609925436 -10.7489329467 0.636531133271	53.0 31.1666399026 -10.2571323281 0.647328360841
54.0 32.955912618 -10.8459929519 0.636539706041	54.0 31.4480663702 -10.3497515045 0.647336855929
55.0 33.2562764305 -10.9448445246 0.636538233681	55.0 31.7346875061 -10.4440802781 0.647335438937
56.0 33.561945225 -11.0454419995 0.6365266941	56.0 32.0263709029 -10.5400750728 0.647324088062
57.0 33.8727823624 -11.1477404076 0.636505084203	57.0 32.3229861731 -10.6376929773 0.647302800189
58.0 34.1886535224 -11.2516955435 0.636473418417	58.0 32.6244051421 -10.7368918085 0.647271589478
59.0 34.5094268691 -11.3572640191 0.636431727247	59.0 32.9305020059 -10.8376301636 0.647230485951
60.0 34.8349731837 -11.4644033078 0.63638005595	60.0 33.241153458 -10.9398674616 0.647179534112
61.0 35.1651659689 -11.5730717784 0.636318463182	61.0 33.5562387886 -11.0435639762 0.647118791712
62.0 35.4998815276 -11.6832287215 0.63624701982	62.0 33.8756399604 -11.1486808607 0.647048328492
63.0 35.8389990204 -11.794834368 0.636165807746	63.0 34.1992416625 -11.2551801654 0.646968225068
64.0 36.1824005034 -11.9078499021 0.636074918801	64.0 34.5269313476 -11.3630248504 0.646878571824
65.0 36.5299709496 -12.0222374675 0.635974453701	65.0 34.8585992516 -11.4721787916 0.646779467902
66.0 36.8815982559 -12.1379601704 0.635864521108	66.0 35.1941384004 -11.5826067833 0.646671020259
67.0 37.237173238 -12.2549820777 0.635745236715	67.0 35.5334446052 -11.6942745361 0.64655334277
68.0 37.5965896136 -12.3732682111 0.635616722397	68.0 35.8764164465 -11.8071486724 0.646426555395
69.0 37.9597439779 -12.4927845395 0.635479105472	69.0 36.2229552507 -11.9211967181 0.646290783432
70.0 38.3265357705 -12.6134979679 0.635332517908	70.0 36.5729650585 -12.0363870924 0.646146156772
71.0 38.6968672362 -12.7353763244 0.635177095719	71.0 36.9263525871 -12.1526890953 0.645992809279
72.0 39.0706433802 -12.8583883456 0.635012978308	72.0 37.283027188 -12.2700728938 0.645830878143
73.0 39.4477719187 -12.9825036605 0.634840307919	73.0 37.6429008 -12.3885095065 0.645660503349
74.0 39.8281632267 -13.1076927728 0.634659229104	74.0 38.0058878986 -12.5079707868 0.645481827141
75.0 40.2117302818 -13.2339270429 0.634469888239	75.0 38.3719054428 -12.6284294053 0.645294993572
76.0 40.5983886064 -13.3611786688 0.634272433101	76.0 38.7408728204 -12.749858832 0.645100148045
77.0 40.9880562081 -13.4894206662 0.634067012462	77.0 39.1127117904 -12.8722333174 0.644897436947
78.0 41.3806535191 -13.618626849 0.633853775696	78.0 39.4873464253 -12.9955278733 0.644687007275
79.0 41.7761033341 -13.7487718083 0.633632872497	79.0 39.8647030524 -13.1197182535 0.644469006298
80.0 42.1743307487 -13.8798308926 0.633404452538	80.0 40.2447101944 -13.2447809344 0.644243581294
81.0 42.5752630971 -14.0117801873 0.633168665216	81.0 40.6272985101 -13.3706930954 0.64401087924
82.0 42.9788298901 -14.1445964938 0.632925659391	82.0 41.0124007355 -13.4974325995 0.643771046601
83.0 43.3849627534 -14.2782573098 0.632675583194	83.0 41.3999516247 -13.6249779739 0.643524229105
84.0 43.7935953669 -14.412740809 0.63241858379	84.0 41.789887892 -13.7533083908 0.643270571533
85.0 44.2046634042 -14.548025821 0.632154807231	85.0 42.182148154 -13.8824036487 0.643010217576
86.0 44.6181044735 -14.6840918124 0.631884398282	86.0 42.5766728737 -14.0122441534 0.642743309642
87.0 45.0338580589 -14.8209188671 0.631607500285	87.0 42.973404304 -14.1428109002 0.642469988749
88.0 45.4518654637 -14.9584876675 0.631324255042	88.0 43.3722864337 -14.2740854553 0.642190394392
89.0 45.8720697539 -15.0967794764 0.631034802695	89.0 43.7732649336 -14.4060499387 0.641904664416
90.0 46.2944157035 -15.2357761186 0.630739281639	90.0 44.1762871047 -14.5386870068 0.641612934969
91.0 46.7188497412 -15.3754599633 0.630437828432	91.0 44.5813018267 -14.6719798357 0.641315340388
92.0 47.1453198979 -15.5158139073 0.630130577732	92.0 44.9882595083 -14.8059121044 0.641012013127
93.0 47.5737757562 -15.6568213579 0.629817662242	93.0 45.3971120388 -14.9404679796 0.640703083713
94.0 48.0041684007 -15.7984662166 0.629499212647	94.0 45.8078127408 -15.0756320993 0.640388680702
95.0 48.4364503697 -15.9407328637 0.629175357579	95.0 46.2203163243 -15.2113895584 0.640068930627
96.0 48.8705756089 -16.0836061423 0.628846223592	96.0 46.634578842 -15.3477258936 0.63974395796
97.0 49.3064994257 -16.2270713438 0.628511935119	97.0 47.0505576462 -15.4846270691 0.639413885104
98.0 49.7441784452 -16.3711141933 0.628172614474	98.0 47.4682113467 -15.6220794633 0.639078832371
99.0 50.1835705677 -16.5157208355 0.627828381818	99.0 47.8874997697 -15.7600698547 0.638738917947
100.0 50.6246349271 -16.660877821 0.627479355161	100.0 48.308383919 -15.8985854094 0.638394257925
101.0 51.0673318506 -16.8065720935 0.627125650382	101.0 48.730825937 -16.0376136682 0.638044966267
102.0 51.5116228205 -16.9527909764 0.626767381171	102.0 49.1547890684 -16.1771425348 0.637691154824
103.0 51.9574704363 -17.099522161 0.626404659109	103.0 49.5802376236 -16.3171602635 0.637332933337
104.0 52.404838378 -17.2467536942 0.626037593627	104.0 50.0071369447 -16.4576554481 0.636970409443
105.0 52.8536913715 -17.3944739671 0.625666292029	105.0 50.4354533714 -16.5986170109 0.6366036887
106.0 53.3039951545 -17.5426717037 0.625290859517	106.0 50.865154209 -16.7400341918 0.636232874589
107.0 53.7557164433 -17.6913359501 0.624911399207	107.0 51.2962076966 -16.8818965381 0.635858068537
108.0 54.2088229014 -17.8404560642 0.624528012137	108.0 51.7285829772 -17.0241938946 0.635479369952
109.0 54.6632831084 -17.9900217054 0.624140797313	109.0 52.1622500681 -17.1669163937 0.635096876196
110.0 55.1190665309 -18.1400228249 0.623749851705	110.0 52.5971798328 -17.3100544466 0.634710682675
111.0 55.5761434933 -18.2904496564 0.623355270291	111.0 53.0333439536 -17.4535987336 0.634320882828
112.0 56.0344851505 -18.4412927067 0.622957146083	112.0 53.470714905 -17.597540196 0.633927568142
113.0 56.494063461 -18.5925427471 0.622555570143	113.0 53.9092659285 -17.7418700273 0.633530828207
114.0 56.954851161 -18.744190805 0.622150631638	114.0 54.3489710078 -17.8865796655 0.633130750738
115.0 57.4168217397 -18.8962281556 0.621742417825	115.0 54.7898048451 -18.0316607849 0.63272742158
116.0 57.8799494151 -19.0486463139 0.621331014124	116.0 55.2317428379 -18.1771052886 0.632320924774
117.0 58.3442091109 -19.2014370269 0.620916504136	117.0 55.6747610573 -18.3229053015 0.63191134257
118.0 58.8095764336 -19.3545922668 0.620498969661	118.0 56.1188362259 -18.4690531629 0.631498755447
119.0 59.2760276517 -19.5081042233 0.620078490744	119.0 56.5639456979 -18.6155414198 0.631083242162
120.0 59.7435396738 -19.6619652969 0.619655145697	120.0 57.0100674385 -18.7623628206 0.630664879782
121.0 60.2120900292 -19.8161680923 0.619229011146	121.0 57.457180005 -18.9095103083 0.630243743684
122.0 60.6816568478 -19.970705412 0.618800162053	122.0 57.9052625282 -19.0569770146 0.629819907641
123.0 61.152218842 -20.1255702501 0.618368671736	123.0 58.3542946941 -19.2047562542 0.6293934438
124.0 61.6237552876 -20.2807557862 0.617934611915	124.0 58.804256727 -19.3528415187 0.628964422743
125.0 62.0962460071 -20.4362553796 0.617498052756	125.0 59.2551293725 -19.5012264714 0.628532913507
126.0 62.5696713524 -20.5920625641 0.617059062868	126.0 59.7068938814 -19.6499049418 0.628098983624
127.0 63.0440121882 -20.7481710422 0.616617709369	127.0 60.159531994 -19.7988709206 0.627662699146
128.0 63.5192498767 -20.90457468 0.61617405789	128.0 60.6130259253 -19.9481185545 0.627224124674
129.0 63.9953662622 -21.0612675023 0.61572817262	129.0 61.06735835 -20.0976421418 0.626783323388
130.0 64.4723436558 -21.2182436878 0.615280116348	130.0 61.5225123889 -20.2474361273 0.626340357091
131.0 64.9501648223 -21.375497564 0.614829950454	131.0 61.978471595 -20.3974950983 0.62589528619
132.0 65.4288129653 -21.5330236032 0.614377734978	132.0 62.4352199407 -20.54781378 0.625448169816
133.0 65.9082717146 -21.690816418 0.613923528633	133.0 62.8927418047 -20.6983870313 0.624999065747
134.0 66.3885251133 -21.8488707568 0.613467388836	134.0 63.3510219601 -20.8492098409 0.624548030513
135.0 66.8695576051 -22.0071814999 0.61300937172	135.0 63.8100455625 -21.0002773236 0.624095119397
136.0 67.3513540229 -22.1657436557 0.612549532199	136.0 64.2697981386 -21.1515847159 0.623640386451
137.0 67.8338995766 -22.3245523568 0.612087923955	137.0 64.730265575 -21.3031273731 0.623183884546
138.0 68.3171798422 -22.483602856 0.611624599491	138.0 65.1914341078 -21.4549007655 0.62272566538
139.0 68.8011807511 -22.6428905233 0.611159610146	139.0 65.6532903119 -21.6069004747 0.622265779506
140.0 69.2858885796 -22.8024108423 0.610693006123	140.0 66.1158210917 -21.7591221909 0.621804276373
141.0 69.7712899385 -22.9621594063 0.610224836514	141.0 66.5790136705 -21.9115617092 0.621341204332
142.0 70.2573717641 -23.1221319161 0.609755149334	142.0 67.0428555822 -22.064214927 0.620876610682
143.0 70.7441213078 -23.282324176 0.609283991527	143.0 67.5073346616 -22.2170778405 0.620410541653
144.0 71.2315261276 -23.4427320914 0.608811409006	144.0 67.9724390361 -22.3701465425 0.619943042484
145.0 71.7195740792 -23.6033516653 0.608337446674	145.0 68.4381571169 -22.523417219 0.619474157407
146.0 72.2082533073 -23.7641789962 0.607862148425	146.0 68.9044775911 -22.6768861469 0.61900392968
147.0 72.6975522376 -23.9252102749 0.607385557211	147.0 69.3713894139 -22.8305496912 0.618532401613
148.0 73.1874595685 -24.086441782 0.606907715023	148.0 69.838881801 -22.9844043028 0.618059614585
149.0 73.6779642635 -24.2478698852 0.606428662927	149.0 70.3069442207 -23.1384465156 0.617585609077
150.0 74.169055544 -24.4094910373 0.605948441089	150.0 70.7755663876 -23.2926729447 0.617110424658
151.0 74.6607228815 -24.5713017734 0.605467088789	151.0 71.2447382549 -23.4470802835 0.616634100061
152.0 75.1529559912 -24.7332987085 0.604984644448	152.0 71.7144500084 -23.6016653022 0.616156673153
153.0 75.6457448249 -24.8954785358 0.604501145642	153.0 72.1846920596 -23.7564248451 0.615678180978
154.0 76.1390795644 -25.0578380241 0.604016629123	154.0 72.6554550395 -23.9113558288 0.61519865976
155.0 76.6329506152 -25.2203740157 0.603531130838	155.0 73.1267297927 -24.0664552403 0.614718144953
156.0 77.1273486007 -25.3830834247 0.603044685952	156.0 73.5985073714 -24.2217201347 0.614236671221
157.0 77.6222643557 -25.5459632348 0.602557328846	157.0 74.0707790299 -24.3771476339 0.613754272481
158.0 78.1176889208 -25.7090104975 0.602069093164	158.0 74.5435362188 -24.532734924 0.613270981905
159.0 78.6136135372 -25.8722223301 0.601580011813	159.0 75.0167705798 -24.6884792544 0.61278683196
160.0 79.1100296407 -26.0355959142 0.601090116986	160.0 75.4904739408 -24.8443779356 0.612301854389
161.0 79.6069288569 -26.1991284936 0.600599440166	161.0 75.9646383104 -25.0004283376 0.611816080265
162.0 80.104302996 -26.362817373 0.60010801215	162.0 76.4392558735 -25.1566278883 0.611329539967
163.0 80.6021440478 -26.5266599163 0.599615863079	163.0 76.9143189865 -25.3129740722 0.610842263242
