1.0 0.248624933333 -0.0818239903062 0.182444617084	1.0 0.246410861211 -0.0810953255926 0.189489703616
2.0 0.248641101912 -0.0818293114848 0.182444391422	2.0 0.246426888239 -0.0811006001859 0.189489471112
3.0 0.249349112118 -0.0820623219855 0.182434509826	3.0 0.247128700342 -0.0813315708529 0.189479289911
4.0 0.253470200124 -0.0834185973218 0.182376993715	4.0 0.251213723323 -0.0826759769681 0.189420029761
5.0 0.263937311539 -0.0868633878804 0.182230961365	5.0 0.261589325441 -0.0860906512561 0.189269568008
6.0 0.28179412631 -0.0927401751322 0.18198237678	6.0 0.279290325862 -0.0919161590497 0.189013439195
7.0 0.30688144305 -0.100996564925 0.181635711779	7.0 0.30415935465 -0.100100708938 0.1886562449
8.0 0.338771819084 -0.111491883252 0.181202410794	8.0 0.335773234634 -0.11050503072 0.188209770441
9.0 0.377344578681 -0.124186414992 0.180693419086	9.0 0.374012927799 -0.123089948254 0.187685287531
10.0 0.422898328514 -0.13917843343 0.180116804546	10.0 0.41917510063 -0.1379530963 0.187091103896
11.0 0.476029212224 -0.156664133095 0.179477839	11.0 0.471851502029 -0.155289223049 0.186432646345
12.0 0.537444541791 -0.176876294699 0.178779909876	12.0 0.532744269558 -0.175329406281 0.185713399396
13.0 0.607800935233 -0.200031015256 0.178025472002	13.0 0.602505497521 -0.19828825423 0.184935885512
14.0 0.687596900453 -0.226292356776 0.177216756993	14.0 0.681630744317 -0.224328858203 0.18410239592
15.0 0.777118835341 -0.255754574561 0.176356201364	15.0 0.770405465078 -0.253545163236 0.183215431891
16.0 0.878049708352 -0.288971543849 0.175439488955	16.0 0.870500103792 -0.286486922689 0.182270537022
17.0 0.988177323917 -0.325215217513 0.174479039894	17.0 0.979723007618 -0.322432850171 0.181280496245
18.0 1.10817997233 -0.364708825049 0.173474083031	18.0 1.09874860027 -0.361604902662 0.180244505009
19.0 1.2377268782 -0.407343506243 0.172427964382	19.0 1.22725080228 -0.403895765413 0.179166000459
20.0 1.3763793412 -0.452974882135 0.171344206112	20.0 1.36479648102 -0.449162891814 0.17804860179
21.0 1.52361847553 -0.501432184216 0.170226422055	21.0 1.51087290996 -0.497237540425 0.176896023441
22.0 1.6788696564 -0.552526299955 0.169078242278	22.0 1.66491197181 -0.547932740358 0.175711997537
23.0 1.84152326253 -0.606056599238 0.167903250014	23.0 1.8263106974 -0.60105005076 0.174500209032
