1.0 0.170125668546 0.563827185953 0.773593088298	1.0 0.164923785341 0.575275771473 0.738296743213
2.0 0.170125668548 0.563827185949 0.77359308831	2.0 0.164923785342 0.575275771469 0.738296743225
3.0 0.170125670827 0.563827180955 0.77359310402	3.0 0.164923787589 0.575275766502 0.738296758233
4.0 0.170125770714 0.563826962096 0.773593792467	4.0 0.164923886026 0.57527554889 0.738297415785
5.0 0.170126668608 0.56382499475 0.773599981042	5.0 0.164924770879 0.575273592763 0.738303326592
6.0 0.170130244684 0.563817159353 0.773624628855	6.0 0.164928295024 0.575265802037 0.738326868135
7.0 0.170139228478 0.563797475538 0.773686551267	7.0 0.164937148364 0.57524623042 0.738386011272
8.0 0.170156292925 0.563760087554 0.77380418032	8.0 0.164953965057 0.575209055452 0.738498360763
9.0 0.170183378511 0.56370074562 0.773990912324	9.0 0.164980657501 0.575150051363 0.738676711635
10.0 0.17022249022 0.563615060445 0.774260608314	10.0 0.165019201733 0.57506485347 0.738934302743
11.0 0.170273079601 0.563504238706 0.774609543837	11.0 0.165069057483 0.57495466104 0.739267576665
12.0 0.170335420075 0.563367688049 0.775039678729	12.0 0.165130494477 0.574818884425 0.739678404965
13.0 0.170409104457 0.563206308441 0.775548293783	13.0 0.165203111729 0.574658417749 0.740164189915
14.0 0.170493586879 0.563021304542 0.776131723494	14.0 0.165286371567 0.574474458125 0.740721429571
15.0 0.170588306613 0.56281391421 0.776786207221	15.0 0.165379721655 0.574268235712 0.741346530789
16.0 0.170692764202 0.562585241606 0.777508413027	16.0 0.165482669997 0.574040847822 0.742036309428
17.0 0.170806560308 0.562336172093 0.778295705712	17.0 0.165594823229 0.573793174278 0.742788246408
18.0 0.17092940805 0.562067345286 0.779146232898	18.0 0.165715898804 0.573525850577 0.743600570042
19.0 0.171061128102 0.561779165929 0.78005889262	19.0 0.165845720161 0.57323927868 0.744472225111
20.0 0.171201633774 0.561471836692 0.781033232035	20.0 0.165984202061 0.572933659561 0.745402776241
21.0 0.171350911358 0.561145401358 0.782069313194	21.0 0.166131331222 0.572609036117 0.746392279769
22.0 0.171508999275 0.560799790576 0.783167570325	22.0 0.1662871458 0.572265338603 0.747441147566
23.0 0.171675968322 0.560434865193 0.784328674227	23.0 0.166451715922 0.571902427721 0.748550017499
