1.0 0.195051028894 0.510353053942 0.959427875028	1.0 0.191617321572 0.517586766902 0.932043212747
2.0 0.195051028895 0.510353053938 0.959427875042	2.0 0.191617321573 0.517586766899 0.932043212759
3.0 0.195051031311 0.510353048865 0.959427894523	3.0 0.191617323976 0.517586761823 0.932043231705
4.0 0.195051137179 0.510352826475 0.959428748356	4.0 0.191617429232 0.517586539442 0.932044061807
5.0 0.19505208884 0.510350827395 0.959436423576	5.0 0.191618375403 0.517584540425 0.932051523755
6.0 0.195055879045 0.510342865638 0.959466992354	6.0 0.191622143745 0.517576578907 0.932081243151
7.0 0.195065400719 0.510322864501 0.959543789944	7.0 0.191631610503 0.517556578358 0.932155906843
8.0 0.195083486645 0.510284874257 0.959689676194	8.0 0.191649592143 0.517518589172 0.932297739488
9.0 0.195112193014 0.51022457769 0.959921265509	9.0 0.191678133061 0.517458294124 0.932522893836
10.0 0.19515364392 0.510137516846 0.960255748651	10.0 0.191719345213 0.517371235141 0.932848082918
11.0 0.195207256821 0.510024920682 0.960688506483	11.0 0.191772649558 0.517258640827 0.933268815773
12.0 0.195273319816 0.509886191102 0.961221969628	12.0 0.191838332708 0.517119912719 0.933787455104
13.0 0.195351399379 0.509722246997 0.96185276568	13.0 0.1919159638 0.516955969308 0.934400721476
14.0 0.195440914783 0.50953431734 0.962576348576	14.0 0.192004965595 0.51676803922 0.935104193962
15.0 0.195541269393 0.509323665191 0.963388054282	15.0 0.192104744995 0.516557385243 0.935893336476
16.0 0.195651931376 0.509091418059 0.964283750477	16.0 0.192214773279 0.516325134732 0.936764129291
17.0 0.195772474865 0.508838481449 0.965260168909	17.0 0.19233462704 0.516072193129 0.937713392261
18.0 0.195902593024 0.508565511522 0.966315012213	18.0 0.192464001186 0.515799216594 0.938738888754
19.0 0.196042092808 0.508272926213 0.967446913711	19.0 0.192602703752 0.515506623087 0.939839286663
20.0 0.196190879132 0.507960938622 0.968655311791	20.0 0.192750640172 0.515194625732 0.941014036353
21.0 0.196348934001 0.507629600978 0.969940283375	21.0 0.192907792552 0.514863276718 0.942263208935
22.0 0.196516294404 0.507278851137 0.971302367048	22.0 0.193074197708 0.514512513776 0.943587324363
23.0 0.196693031346 0.50690855668 0.972742394701	23.0 0.193249926335 0.514142204236 0.944987187906
24.0 0.196879231375 0.506518553717 0.974261342773	24.0 0.193435064644 0.513752183824 0.946463745529
25.0 0.197074981186 0.506108679198 0.975860207704	25.0 0.193629699065 0.513342288945 0.948017962937
26.0 0.197280355452 0.505678796398 0.977539906999	26.0 0.193833904159 0.512912382157 0.949650729419
27.0 0.19749540773 0.505228813935 0.97930120456	27.0 0.194047733561 0.51246237121 0.951362785211
28.0 0.197720164092 0.504758699019 0.981144657724	28.0 0.194271213659 0.511992222276 0.953154670113
29.0 0.197954619108 0.504268485758 0.983070582921	29.0 0.194504339589 0.511501968283 0.955026690037
