1.0 0.347462579384 0.563827185953 0.773593088298	1.0 0.326433956797 0.575275771473 0.738296743213
2.0 0.347462579391 0.563827185949 0.77359308831	2.0 0.326433956804 0.575275771469 0.738296743225
3.0 0.347462588899 0.563827180955 0.77359310402	3.0 0.326433965605 0.575275766502 0.738296758233
4.0 0.34746300556 0.563826962096 0.773593792467	4.0 0.326434351244 0.57527554889 0.738297415785
5.0 0.347466751013 0.56382499475 0.773599981042	5.0 0.3264378178 0.575273592763 0.738303326592
6.0 0.347481668582 0.563817159353 0.773624628855	6.0 0.326451624566 0.575265802037 0.738326868135
7.0 0.347519147273 0.563797475538 0.773686551267	7.0 0.326486312409 0.57524623042 0.738386011272
8.0 0.347590348288 0.563760087554 0.77380418032	8.0 0.326552211128 0.575209055452 0.738498360763
9.0 0.347703392861 0.56370074562 0.773990912324	9.0 0.32665683648 0.575150051363 0.738676711635
10.0 0.347866695987 0.563615060445 0.774260608314	10.0 0.326807975389 0.57506485347 0.738934302743
11.0 0.348078038032 0.563504238706 0.774609543837	11.0 0.327003571513 0.57495466104 0.739267576665
12.0 0.348338651849 0.563367688049 0.775039678729	12.0 0.32724476313 0.574818884425 0.739678404965
13.0 0.348646945949 0.563206308441 0.775548293783	13.0 0.327530073916 0.574658417749 0.740164189915
14.0 0.349000762183 0.563021304542 0.776131723494	14.0 0.327857502508 0.574474458125 0.740721429571
15.0 0.349397889552 0.56281391421 0.776786207221	15.0 0.328224998166 0.574268235712 0.741346530789
16.0 0.349836380747 0.562585241606 0.777508413027	16.0 0.328630753686 0.574040847822 0.742036309428
17.0 0.35031471457 0.562336172093 0.778295705712	17.0 0.329073355756 0.573793174278 0.742788246408
18.0 0.350831848742 0.562067345286 0.779146232898	18.0 0.32955183385 0.573525850577 0.743600570042
19.0 0.351387201231 0.561779165929 0.78005889262	19.0 0.330065642906 0.57323927868 0.744472225111
20.0 0.351980589936 0.561471836692 0.781033232035	20.0 0.330614607517 0.572933659561 0.745402776241
21.0 0.35261215233 0.561145401358 0.782069313194	21.0 0.33119884755 0.572609036117 0.746392279769
22.0 0.353282259787 0.560799790576 0.783167570325	22.0 0.33181869888 0.572265338603 0.747441147566
23.0 0.353991435961 0.560434865193 0.784328674227	23.0 0.332474637819 0.571902427721 0.748550017499
24.0 0.354740284322 0.560050454486 0.78555341218	24.0 0.333167214117 0.571520132581 0.749719638892
