126000 cartesian
0 0 14.737
0.0333333 0 14.737
0.0666667 0 14.737
0.1 0 14.737
0.133333 0 14.737
0.166667 0 14.737
0.2 0 14.737
0.233333 0 14.737
0.266667 0 14.737
0.3 0 14.737
0.333333 0 14.737
0.366667 0 14.737
0.4 0 14.737
0.433333 0 14.737
0.466667 0 14.737
0.5 0 14.737
0.533333 0 14.737
0.566667 0 14.737
0.6 0 14.737
0.633333 0 14.737
0.666667 0 14.737
0.7 0 14.737
0.733333 0 14.737
0.766667 0 14.737
0.8 0 14.737
0.833333 0 14.737
0.866667 0 14.737
0.9 0 14.737
0.933333 0 14.737
0.966667 0 14.737
1 0 14.737
1.03333 0 14.737
1.06667 0 14.737
1.1 0 14.737
1.13333 0 14.737
1.16667 0 14.737
1.2 0 14.737
1.23333 0 14.737
1.26667 0 14.737
1.3 0 14.737
1.33333 0 14.737
1.36667 0 14.737
1.4 0 14.737
1.43333 0 14.737
1.46667 0 14.737
1.5 0 14.737
1.53333 0 14.737
1.56667 0 14.737
1.6 0 14.737
1.63333 0 14.737
1.66667 0 14.737
1.7 0 14.737
1.73333 0 14.737
1.76667 0 14.737
1.8 0 14.737
1.83333 0 14.737
1.86667 0 14.737
1.9 0 14.737
1.93333 0 14.737
1.96667 0 14.737
0 0.0333333 14.737
0.0333333 0.0333333 14.737
0.0666667 0.0333333 14.737
0.1 0.0333333 14.737
0.133333 0.0333333 14.737
0.166667 0.0333333 14.737
0.2 0.0333333 14.737
0.233333 0.0333333 14.737
0.266667 0.0333333 14.737
0.3 0.0333333 14.737
0.333333 0.0333333 14.737
0.366667 0.0333333 14.737
0.4 0.0333333 14.737
0.433333 0.0333333 14.737
0.466667 0.0333333 14.737
0.5 0.0333333 14.737
0.533333 0.0333333 14.737
0.566667 0.0333333 14.737
0.6 0.0333333 14.737
0.633333 0.0333333 14.737
0.666667 0.0333333 14.737
0.7 0.0333333 14.737
0.733333 0.0333333 14.737
0.766667 0.0333333 14.737
0.8 0.0333333 14.737
0.833333 0.0333333 14.737
0.866667 0.0333333 14.737
0.9 0.0333333 14.737
0.933333 0.0333333 14.737
0.966667 0.0333333 14.737
1 0.0333333 14.737
1.03333 0.0333333 14.737
1.06667 0.0333333 14.737
1.1 0.0333333 14.737
1.13333 0.0333333 14.737
1.16667 0.0333333 14.737
1.2 0.0333333 14.737
1.23333 0.0333333 14.737
1.26667 0.0333333 14.737
1.3 0.0333333 14.737
1.33333 0.0333333 14.737
1.36667 0.0333333 14.737
1.4 0.0333333 14.737
1.43333 0.0333333 14.737
1.46667 0.0333333 14.737
1.5 0.0333333 14.737
1.53333 0.0333333 14.737
1.56667 0.0333333 14.737
1.6 0.0333333 14.737
1.63333 0.0333333 14.737
1.66667 0.0333333 14.737
1.7 0.0333333 14.737
1.73333 0.0333333 14.737
1.76667 0.0333333 14.737
1.8 0.0333333 14.737
1.83333 0.0333333 14.737
1.86667 0.0333333 14.737
1.9 0.0333333 14.737
1.93333 0.0333333 14.737
1.96667 0.0333333 14.737
0 0.0666667 14.737
0.0333333 0.0666667 14.737
0.0666667 0.0666667 14.737
0.1 0.0666667 14.737
0.133333 0.0666667 14.737
0.166667 0.0666667 14.737
0.2 0.0666667 14.737
0.233333 0.0666667 14.737
0.266667 0.0666667 14.737
0.3 0.0666667 14.737
0.333333 0.0666667 14.737
0.366667 0.0666667 14.737
0.4 0.0666667 14.737
0.433333 0.0666667 14.737
0.466667 0.0666667 14.737
0.5 0.0666667 14.737
0.533333 0.0666667 14.737
0.566667 0.0666667 14.737
0.6 0.0666667 14.737
0.633333 0.0666667 14.737
0.666667 0.0666667 14.737
0.7 0.0666667 14.737
0.733333 0.0666667 14.737
0.766667 0.0666667 14.737
0.8 0.0666667 14.737
0.833333 0.0666667 14.737
0.866667 0.0666667 14.737
0.9 0.0666667 14.737
0.933333 0.0666667 14.737
0.966667 0.0666667 14.737
1 0.0666667 14.737
1.03333 0.0666667 14.737
1.06667 0.0666667 14.737
1.1 0.0666667 14.737
1.13333 0.0666667 14.737
1.16667 0.0666667 14.737
1.2 0.0666667 14.737
1.23333 0.0666667 14.737
1.26667 0.0666667 14.737
1.3 0.0666667 14.737
1.33333 0.0666667 14.737
1.36667 0.0666667 14.737
1.4 0.0666667 14.737
1.43333 0.0666667 14.737
1.46667 0.0666667 14.737
1.5 0.0666667 14.737
1.53333 0.0666667 14.737
1.56667 0.0666667 14.737
1.6 0.0666667 14.737
1.63333 0.0666667 14.737
1.66667 0.0666667 14.737
1.7 0.0666667 14.737
1.73333 0.0666667 14.737
1.76667 0.0666667 14.737
1.8 0.0666667 14.737
1.83333 0.0666667 14.737
1.86667 0.0666667 14.737
1.9 0.0666667 14.737
1.93333 0.0666667 14.737
1.96667 0.0666667 14.737
0 0.1 14.737
0.0333333 0.1 14.737
0.0666667 0.1 14.737
0.1 0.1 14.737
0.133333 0.1 14.737
0.166667 0.1 14.737
0.2 0.1 14.737
0.233333 0.1 14.737
0.266667 0.1 14.737
0.3 0.1 14.737
0.333333 0.1 14.737
0.366667 0.1 14.737
0.4 0.1 14.737
0.433333 0.1 14.737
0.466667 0.1 14.737
0.5 0.1 14.737
0.533333 0.1 14.737
0.566667 0.1 14.737
0.6 0.1 14.737
0.633333 0.1 14.737
0.666667 0.1 14.737
0.7 0.1 14.737
0.733333 0.1 14.737
0.766667 0.1 14.737
0.8 0.1 14.737
0.833333 0.1 14.737
0.866667 0.1 14.737
0.9 0.1 14.737
0.933333 0.1 14.737
0.966667 0.1 14.737
1 0.1 14.737
1.03333 0.1 14.737
1.06667 0.1 14.737
1.1 0.1 14.737
1.13333 0.1 14.737
1.16667 0.1 14.737
1.2 0.1 14.737
1.23333 0.1 14.737
1.26667 0.1 14.737
1.3 0.1 14.737
1.33333 0.1 14.737
1.36667 0.1 14.737
1.4 0.1 14.737
1.43333 0.1 14.737
1.46667 0.1 14.737
1.5 0.1 14.737
1.53333 0.1 14.737
1.56667 0.1 14.737
1.6 0.1 14.737
1.63333 0.1 14.737
1.66667 0.1 14.737
1.7 0.1 14.737
1.73333 0.1 14.737
1.76667 0.1 14.737
1.8 0.1 14.737
1.83333 0.1 14.737
1.86667 0.1 14.737
1.9 0.1 14.737
1.93333 0.1 14.737
1.96667 0.1 14.737
0 0.133333 14.737
0.0333333 0.133333 14.737
0.0666667 0.133333 14.737
0.1 0.133333 14.737
0.133333 0.133333 14.737
0.166667 0.133333 14.737
0.2 0.133333 14.737
0.233333 0.133333 14.737
0.266667 0.133333 14.737
0.3 0.133333 14.737
0.333333 0.133333 14.737
0.366667 0.133333 14.737
0.4 0.133333 14.737
0.433333 0.133333 14.737
0.466667 0.133333 14.737
0.5 0.133333 14.737
0.533333 0.133333 14.737
0.566667 0.133333 14.737
0.6 0.133333 14.737
0.633333 0.133333 14.737
0.666667 0.133333 14.737
0.7 0.133333 14.737
0.733333 0.133333 14.737
0.766667 0.133333 14.737
0.8 0.133333 14.737
0.833333 0.133333 14.737
0.866667 0.133333 14.737
0.9 0.133333 14.737
0.933333 0.133333 14.737
0.966667 0.133333 14.737
1 0.133333 14.737
1.03333 0.133333 14.737
1.06667 0.133333 14.737
1.1 0.133333 14.737
1.13333 0.133333 14.737
1.16667 0.133333 14.737
1.2 0.133333 14.737
1.23333 0.133333 14.737
1.26667 0.133333 14.737
1.3 0.133333 14.737
1.33333 0.133333 14.737
1.36667 0.133333 14.737
1.4 0.133333 14.737
1.43333 0.133333 14.737
1.46667 0.133333 14.737
1.5 0.133333 14.737
1.53333 0.133333 14.737
1.56667 0.133333 14.737
1.6 0.133333 14.737
1.63333 0.133333 14.737
1.66667 0.133333 14.737
1.7 0.133333 14.737
1.73333 0.133333 14.737
1.76667 0.133333 14.737
1.8 0.133333 14.737
1.83333 0.133333 14.737
1.86667 0.133333 14.737
1.9 0.133333 14.737
1.93333 0.133333 14.737
1.96667 0.133333 14.737
0 0.166667 14.737
0.0333333 0.166667 14.737
0.0666667 0.166667 14.737
0.1 0.166667 14.737
0.133333 0.166667 14.737
0.166667 0.166667 14.737
0.2 0.166667 14.737
0.233333 0.166667 14.737
0.266667 0.166667 14.737
0.3 0.166667 14.737
0.333333 0.166667 14.737
0.366667 0.166667 14.737
0.4 0.166667 14.737
0.433333 0.166667 14.737
0.466667 0.166667 14.737
0.5 0.166667 14.737
0.533333 0.166667 14.737
0.566667 0.166667 14.737
0.6 0.166667 14.737
0.633333 0.166667 14.737
0.666667 0.166667 14.737
0.7 0.166667 14.737
0.733333 0.166667 14.737
0.766667 0.166667 14.737
0.8 0.166667 14.737
0.833333 0.166667 14.737
0.866667 0.166667 14.737
0.9 0.166667 14.737
0.933333 0.166667 14.737
0.966667 0.166667 14.737
1 0.166667 14.737
1.03333 0.166667 14.737
1.06667 0.166667 14.737
1.1 0.166667 14.737
1.13333 0.166667 14.737
1.16667 0.166667 14.737
1.2 0.166667 14.737
1.23333 0.166667 14.737
1.26667 0.166667 14.737
1.3 0.166667 14.737
1.33333 0.166667 14.737
1.36667 0.166667 14.737
1.4 0.166667 14.737
1.43333 0.166667 14.737
1.46667 0.166667 14.737
1.5 0.166667 14.737
1.53333 0.166667 14.737
1.56667 0.166667 14.737
1.6 0.166667 14.737
1.63333 0.166667 14.737
1.66667 0.166667 14.737
1.7 0.166667 14.737
1.73333 0.166667 14.737
1.76667 0.166667 14.737
1.8 0.166667 14.737
1.83333 0.166667 14.737
1.86667 0.166667 14.737
1.9 0.166667 14.737
1.93333 0.166667 14.737
1.96667 0.166667 14.737
0 0.2 14.737
0.0333333 0.2 14.737
0.0666667 0.2 14.737
0.1 0.2 14.737
0.133333 0.2 14.737
0.166667 0.2 14.737
0.2 0.2 14.737
0.233333 0.2 14.737
0.266667 0.2 14.737
0.3 0.2 14.737
0.333333 0.2 14.737
0.366667 0.2 14.737
0.4 0.2 14.737
0.433333 0.2 14.737
0.466667 0.2 14.737
0.5 0.2 14.737
0.533333 0.2 14.737
0.566667 0.2 14.737
